name,yearpublished,rank,price
Brass: Birmingham,2018,1,56.45
Ark Nova,2021,2,41.6
Pandemic Legacy: Season 1,2015,3,51.16
Gloomhaven,2017,4,142.09
Dune: Imperium – Uprising,2023,5,44.98
Dune: Imperium,2020,6,41.94
Twilight Imperium: Fourth Edition,2017,7,86.99
War of the Ring: Second Edition,2011,8,74.99
Terraforming Mars,2016,9,49.99
Star Wars: Rebellion,2016,10,77.97
Spirit Island,2017,11,61.39
Gloomhaven: Jaws of the Lion,2020,12,10.19
Gaia Project,2017,13,43.93
Twilight Struggle,2005,14,52.95
The Castles of Burgundy,2011,15,35.99
SETI: Search for Extraterrestrial Intelligence,2024,16,53.5
Slay the Spire: The Board Game,2024,17,84.0
Through the Ages: A New Story of Civilization,2015,18,39.95
The Lord of the Rings: Duel for Middle-earth,2024,19,22.38
Great Western Trail,2016,20,28.44
Frosthaven,2022,21,129.64
Brass: Lancashire,2007,22,53.94
Eclipse: Second Dawn for the Galaxy,2020,23,85.63
7 Wonders Duel,2015,24,20.18
Nemesis,2018,25,34.38
Scythe,2016,26,16.58
A Feast for Odin,2016,27,54.47
Clank! Legacy: Acquisitions Incorporated,2019,28,77.1
Concordia,2013,29,26.58
Lost Ruins of Arnak,2020,30,32.98
Great Western Trail: Second Edition,2021,31,28.44
Arkham Horror: The Card Game,2016,32,34.99
Sky Team,2023,33,23.5
Root,2018,34,42.94
Terra Mystica,2012,35,46.19
Orléans,2014,36,36.38
Too Many Bones,2017,37,104.56
Wingspan,2019,38,38.94
Mage Knight Board Game,2011,39,33.84
Barrage,2019,40,52.98
Hegemony: Lead Your Class to Victory,2023,41,52.42
Everdell,2018,42,38.98
The Crew: Mission Deep Sea,2021,43,12.98
Kanban EV,2020,45,109.95
Crokinole,1876,46,32.75
Heat: Pedal to the Metal,2022,47,39.55
Marvel Champions: The Card Game,2019,48,37.99
Food Chain Magnate,2015,49,61.88
Underwater Cities,2018,50,44.99
Ticket to Ride Legacy: Legends of the West,2023,51,61.54
Clank!: Catacombs,2022,52,47.99
Pax Pamir: Second Edition,2019,53,61.2
Cthulhu: Death May Die,2019,54,81.0
Harmonies,2024,55,24.99
Age of Innovation,2023,56,51.83
Puerto Rico,2002,57,32.9
On Mars,2020,58,28.21
Pandemic Legacy: Season 0,2020,59,47.85
Cascadia,2021,60,29.98
Anachrony,2017,61,50.58
Caverna: The Cave Farmers,2013,62,35.09
Oathsworn: Into the Deepwood,2022,63,119.99
Agricola,2007,64,33.71
Blood Rage,2015,65,56.99
Obsession,2018,66,35.2
Grand Austria Hotel,2015,67,39.99
Blood on the Clocktower,2022,68,98.93
Lisboa,2017,69,81.18
Pandemic Legacy: Season 2,2017,70,49.99
Sleeping Gods,2021,71,74.95
The White Castle,2023,72,27.99
Tzolk'in: The Mayan Calendar,2012,73,38.39
Power Grid,2004,74,37.8
Clans of Caledonia,2017,75,39.68
Mansions of Madness: Second Edition,2016,76,77.99
Great Western Trail: New Zealand,2023,77,34.36
Quacks,2018,78,27.47
Paladins of the West Kingdom,2019,79,38.95
Endeavor: Deep Sea,2024,80,47.79
Le Havre,2008,81,34.94
The Gallerist,2015,82,64.95
Android: Netrunner,2012,83,40.08
Agricola (Revised Edition),2016,84,33.98
Star Wars: Imperial Assault,2014,85,77.6
Voidfall,2023,86,62.69
Maracaibo,2019,87,41.5
Wingspan Asia,2022,88,30.74
Darwin's Journey,2023,89,45.55
Mechs vs. Minions,2016,90,90.98
Revive,2022,91,46.37
The Crew: The Quest for Planet Nine,2019,92,12.98
Race for the Galaxy,2007,93,31.48
The Lord of the Rings: Fate of the Fellowship,2025,94,50.99
Kingdom Death: Monster,2015,95,489.08
Five Tribes: The Djinns of Naqala,2014,96,41.59
Final Girl,2021,97,18.88
Azul,2017,98,30.98
